,id,type,distance,moving_time,elapsed_time,total_elevation_gain,start_date_local,average_speed,max_speed,average_heartrate,max_heartrate,elev_high,elev_low,start_latitude,start_longitude,end_latitude,end_longitude
29,9439050809,Workout,0.0,4360,4360,0.0,2023-07-12T17:18:07Z,0.0,0.0,122.7,162.0,,,,,,
30,9431503300,Run,6199.4,1944,1951,46.7,2023-07-11T17:25:21Z,3.189,8.022,145.2,173.0,63.6,22.0,-34.0299649893401,18.46546065501403,-34.0306236548153,18.46560001389533
31,9425000454,Run,6351.7,1939,1939,46.4,2023-07-10T17:21:51Z,3.276,9.991,150.7,176.0,63.6,22.4,-34.03006440463098,18.46494774660595,-34.03019932296727,18.46566178279522
32,9400201985,Run,6414.1,3129,3857,49.7,2023-07-06T16:54:36Z,2.05,5.988,123.2,156.0,66.0,22.8,-34.02682434988577,18.46618227256603,-34.03066567600148,18.4648734473505
33,9394844002,Workout,0.0,4996,4996,0.0,2023-07-05T17:05:18Z,0.0,0.0,111.7,170.0,,,,,,
34,9392747092,Walk,2391.7,1513,2406,5.7,2023-07-05T13:54:11Z,1.581,10.822,92.2,126.0,26.7,19.1,-34.03002941049635,18.46486019901931,-34.03052390087396,18.46469733864069
35,9387546742,Run,1575.9,499,499,13.9,2023-07-04T17:29:19Z,3.158,10.925,126.9,152.0,34.0,22.0,-34.02880176796056,18.46584943042181,-34.01971880144902,18.46007683662739
36,9381193353,Run,6303.2,1871,1875,46.7,2023-07-03T17:36:30Z,3.369,8.972,161.1,200.0,63.6,22.0,-34.03007093760561,18.46481715816623,-34.03040017581689,18.46546428549862
37,9381193671,Workout,0.0,448,448,0.0,2023-07-03T16:08:06Z,0.0,0.0,128.3,161.0,,,,,,
38,9363298769,Run,4868.9,1453,1453,40.6,2023-06-30T17:48:09Z,3.351,6.272,147.9,182.0,57.3,22.0,-34.03006876844093,18.46531789293886,-34.03013261531945,18.46447360947646
39,9357288431,Run,4592.3,1640,1640,0.0,2023-06-29T15:30:04Z,2.8,11.253,156.0,186.0,,,,,,
40,9351469271,Workout,0.0,1219,1219,0.0,2023-06-28T16:35:52Z,0.0,0.0,97.9,125.0,,,,,,
41,9309090833,Run,6292.9,1994,1998,46.7,2023-06-21T17:22:02Z,3.156,7.905,146.2,167.0,63.6,22.0,-34.03005216368987,18.46517034305001,-34.03026158618432,18.46556110185744
42,9301927001,Run,6298.6,1923,1933,46.7,2023-06-20T17:44:12Z,3.275,7.929,161.1,179.0,63.6,22.0,-34.03005769825318,18.46471564192175,-34.03039354181435,18.46563229847987
43,9295504520,Run,6263.9,1922,1922,48.0,2023-06-19T17:38:54Z,3.259,5.549,151.4,174.0,65.2,22.0,-34.03009175738993,18.46479021354348,-34.03055684879325,18.46560932143451
44,9290181943,Run,5986.2,1986,1999,44.0,2023-06-18T17:29:05Z,3.014,12.177,145.1,171.0,63.4,22.4,-34.02935086664949,18.46571274379404,-34.03031030003127,18.46562207993048
45,9271050361,Run,6345.7,1882,1891,48.8,2023-06-15T17:08:33Z,3.372,7.51,154.4,176.0,63.3,21.5,-34.03012485912246,18.46529528502938,-34.03030681277335,18.46568828960141
46,9251991259,Run,6082.4,2511,2927,30.1,2023-06-12T16:20:58Z,2.422,12.691,137.0,169.0,30.8,12.5,-33.96043156295086,18.47828639701806,-33.95939295716643,18.47936342185931
47,9239880803,Run,6379.7,1923,1926,49.9,2023-06-10T17:16:41Z,3.318,7.499,148.9,185.0,64.2,22.0,-34.03007513040163,18.46470331217356,-34.03015659669691,18.46563626883439
48,9233376886,Run,6281.5,1870,1882,46.7,2023-06-09T17:20:39Z,3.359,25.562,155.7,189.0,63.6,22.0,-34.02999339791071,18.46564479494747,-34.0301252723805,18.46566993124073
49,9214298363,Run,5743.1,1776,1918,45.3,2023-06-06T17:26:52Z,3.234,7.348,151.7,183.0,63.1,22.4,-34.02689603451535,18.46610494820424,-34.03019609251951,18.46572925626372
50,9188886291,Run,6279.9,1873,2064,47.6,2023-06-02T17:07:53Z,3.353,7.873,144.5,169.0,63.0,22.4,-34.03004450068018,18.46503950102712,-34.0302082406072,18.465796312688
51,9182881813,Run,6039.9,2673,3117,32.3,2023-06-01T16:14:28Z,2.26,5.926,118.4,147.0,29.7,13.1,-33.95997784823643,18.47851013754613,-33.95101226854811,18.48413279023087
52,9175746885,Run,6311.6,1924,1928,46.7,2023-05-31T15:23:40Z,3.28,9.428,160.2,185.0,63.6,22.0,-34.03003004800334,18.46485368009693,-34.03042719901728,18.46583210322612
53,9163214635,Run,6254.4,1931,1939,47.6,2023-05-29T15:49:43Z,3.239,8.018,157.3,198.0,64.6,22.0,-34.03009315242216,18.46502163686585,-34.03023880466181,18.46576514197204
54,9144707896,Run,6336.7,1915,1936,46.1,2023-05-26T17:24:01Z,3.309,11.343,149.1,166.0,63.6,22.4,-34.0300809302508,18.46482100621188,-34.03025163301263,18.46573673721713
55,9132356530,Run,6335.7,1943,1943,46.7,2023-05-24T17:06:45Z,3.261,4.986,150.6,173.0,63.6,22.0,-34.03007686979913,18.46483980876511,-34.03013574626656,18.46568415888992
56,9125893368,Run,6313.6,1811,1983,46.1,2023-05-23T17:28:28Z,3.486,8.205,153.7,170.0,63.6,22.4,-34.03007217557342,18.46480412021577,-34.03015763890899,18.46555950662071
57,9119647227,Run,6296.4,1907,1907,45.5,2023-05-22T17:21:46Z,3.302,6.428,156.8,191.0,63.1,22.4,-34.03013566421448,18.46475855939301,-34.03049797525921,18.46600420570809
58,9100979064,Run,6314.4,1885,1889,46.7,2023-05-19T17:19:52Z,3.35,6.236,151.2,174.0,63.6,22.0,-34.03006813647128,18.46480335972871,-34.03023704127133,18.46560346134244
59,9094947903,Run,6274.6,1936,1940,47.4,2023-05-18T17:05:39Z,3.241,9.474,154.9,176.0,63.6,22.4,-34.03002189289811,18.46491269427929,-34.03055009032568,18.46589971330908
60,9094947670,Run,917.7,301,301,8.5,2023-05-16T16:58:02Z,3.049,4.494,72.6,146.0,31.5,22.7,-34.03008620565605,18.4652742799334,-34.02229580006479,18.46698077183519
61,9076309262,Run,6248.7,1926,1926,46.0,2023-05-15T17:33:52Z,3.244,5.995,144.9,176.0,63.6,22.4,-34.03000796994836,18.46560467442121,-34.03031130950976,18.46553994712973
62,9052407499,Run,6301.7,1928,1937,49.9,2023-05-11T16:47:35Z,3.269,7.314,150.9,173.0,64.5,22.0,-34.03006616561954,18.46468570531391,-34.03021125791727,18.46561238410777
63,9046120428,Run,6319.9,1916,1930,47.4,2023-05-10T16:14:14Z,3.298,5.702,160.7,193.0,64.6,22.0,-34.03008868676781,18.4649547789258,-34.03048246533001,18.46587951838379
64,9040335876,Run,11504.2,3091,4586,179.0,2023-05-09T16:18:22Z,3.722,20.744,117.1,166.0,173.4,31.2,-33.96012773021243,18.45475555611355,-34.01856070384383,18.46499271690845
65,9016088530,Run,6246.8,1935,1941,46.1,2023-05-05T17:54:33Z,3.228,7.216,165.0,185.0,63.6,22.4,-34.03002384383934,18.46487492505128,-34.03066380999297,18.46540570527107
66,9010350102,Run,6308.5,1919,1924,46.1,2023-05-04T17:36:53Z,3.287,5.628,137.8,179.0,63.6,22.4,-34.03002106231843,18.46482182958379,-34.03020600204473,18.46559962603369
67,8997591614,Run,6409.0,1897,1897,46.6,2023-05-02T17:40:47Z,3.378,5.229,143.6,175.0,63.6,22.0,-34.03004723547529,18.46490320429075,-34.03018697537601,18.46563337666781
68,8972803697,Run,6242.5,1861,1921,49.8,2023-04-28T17:43:44Z,3.354,11.697,151.4,179.0,65.0,22.0,-34.0300842147381,18.46486539562185,-34.03021286508883,18.46570913116367
69,8955046860,Run,6287.0,1927,1938,50.8,2023-04-25T16:45:40Z,3.263,8.797,160.6,186.0,64.3,22.0,-34.03007735349745,18.46478885288785,-34.03020240957995,18.46561470266919
70,8949516924,Run,5752.3,1716,2902,10.9,2023-04-24T17:52:54Z,3.352,5.562,160.2,189.0,29.7,20.1,-33.96137280614236,18.47788292420664,-33.95112084321686,18.48418450235414
71,8931349686,Run,6213.1,1839,1843,46.0,2023-04-21T17:40:26Z,3.379,5.253,136.1,170.0,63.6,22.4,-34.02982947667275,18.46569151976448,-34.03019463231742,18.46568415819825
72,8925840401,Run,5536.5,1645,1649,44.0,2023-04-20T18:17:05Z,3.366,11.258,68.6,175.0,57.3,22.0,-34.03006196741001,18.4647770888503,-34.03017441503896,18.46567529683847
73,8913565861,Run,6206.0,1784,1950,46.7,2023-04-18T17:51:37Z,3.479,11.019,153.2,179.0,63.6,22.0,-34.03011922622248,18.46494747007188,-34.03021718814765,18.46565194368823
74,8837725964,Run,6348.4,1828,1853,46.9,2023-04-05T17:54:31Z,3.473,10.357,157.9,178.0,63.8,22.0,-34.03006748291416,18.46472492928549,-34.03018144134013,18.46568034328409
75,8825886373,Run,6299.6,1831,1842,46.7,2023-04-03T18:25:51Z,3.441,7.283,157.0,178.0,63.6,22.0,-34.03000485717831,18.46497942822159,-34.03017754891172,18.46563049465741
76,8803865211,Run,6257.6,1807,1813,46.8,2023-03-30T18:25:33Z,3.463,7.602,148.7,172.0,63.6,22.0,-34.02973054813877,18.46555502790613,-34.03018552918599,18.46564801436911
77,8792355205,Run,6168.8,1832,1836,46.2,2023-03-28T17:55:07Z,3.367,7.451,156.7,174.0,63.1,22.0,-34.02915566783034,18.465587668123,-34.03045547777834,18.46551495144517
78,8786991985,Run,6288.2,1852,1865,51.2,2023-03-27T18:40:47Z,3.395,10.367,144.4,165.0,63.6,22.0,-34.03003149898797,18.4651542179405,-34.03016759200051,18.46561257417153
79,8782127918,Run,4950.5,1388,1430,39.8,2023-03-26T18:44:37Z,3.567,14.85,142.0,173.0,57.3,22.7,-34.03003722295416,18.46488260429952,-34.03003521375648,18.46451582466169
80,8769934468,Run,6318.9,1871,1871,46.7,2023-03-24T17:57:02Z,3.377,14.431,151.5,173.0,63.6,22.0,-34.030082043202,18.46489770404784,-34.03015047780635,18.46562985952046
81,8764622674,Run,6294.2,1826,1832,51.7,2023-03-23T18:03:54Z,3.447,8.273,156.3,185.0,63.3,22.0,-34.02996657779787,18.46553103387793,-34.03038393032801,18.46549234686184
82,8759160272,Run,5377.1,2566,3345,83.8,2023-03-22T17:42:47Z,2.096,7.622,104.2,138.0,102.3,28.2,-33.97028763810036,18.46152435138847,-33.97361289000077,18.46212783467243
83,8753183820,Run,6199.1,1837,1845,46.7,2023-03-21T18:37:34Z,3.375,7.024,161.0,178.0,63.6,22.0,-34.02978559723353,18.46560182356096,-34.0303087019265,18.46559770188873
84,8725035135,Run,6171.2,1867,1874,49.8,2023-03-16T18:42:00Z,3.305,8.474,152.5,183.0,63.6,20.3,-34.02957475836556,18.46561041235949,-34.0308982710736,18.46528684392172
